index,start,end
0,2.609628e-11,2.081458e-11
1,3.6215895e-11,2.8360599e-11
2,4.7316758e-11,3.6374844e-11
3,5.423145e-11,4.1144105e-11
4,4.6436542e-11,3.4834666e-11
5,4.685988e-11,3.4784006e-11
6,5.1323567e-11,3.7843697e-11
7,5.495775e-11,4.0501127e-11
8,5.514234e-11,3.9698224e-11
9,4.863019e-11,3.4195386e-11
10,3.6043068e-11,2.5251107e-11
11,2.939489e-11,1.972027e-11
12,2.3220164e-11,1.5176775e-11
13,2.1120033e-11,1.3616651e-11
14,2.1120033e-11,1.3616651e-11
15,1.7661601e-11,1.1565585e-11
16,1.196403e-11,7.958961e-12
17,1.0518501e-11,7.129918e-12
18,7.659827e-12,5.2371553e-12
19,7.068161e-12,4.930778e-12
20,6.9130058e-12,4.7508815e-12
21,4.9572004e-12,3.3940652e-12
22,4.306948e-12,2.9542755e-12
23,3.211157e-12,2.1926315e-12
24,3.1857726e-12,2.1696468e-12
25,2.9665285e-12,2.0417275e-12
26,3.0201837e-12,2.0632077e-12
27,2.8683564e-12,1.9277225e-12
28,3.1954732e-12,2.1710583e-12
29,3.460182e-12,2.3353713e-12
30,3.1835797e-12,2.1850375e-12
31,3.0467582e-12,2.116866e-12
32,2.2244817e-12,1.6212135e-12
33,2.248695e-12,1.6855509e-12
34,2.0832045e-12,1.5867542e-12
35,2.4717064e-12,1.9028596e-12
36,2.7179853e-12,2.1124131e-12
37,3.0021955e-12,2.3764682e-12
38,3.1904366e-12,2.5655346e-12
39,4.97683e-12,4.0389094e-12
40,5.44551e-12,4.45259e-12
41,9.364864e-12,7.637768e-12
42,1.4979974e-11,1.2197323e-11
43,2.2109047e-11,1.8049836e-11
44,2.7620897e-11,2.2548291e-11
45,4.1294742e-11,3.3670632e-11
46,6.1783585e-11,5.0312355e-11
47,6.6594716e-11,5.3681788e-11
48,6.757173e-11,5.3753408e-11
49,7.612699e-11,5.797282e-11
50,7.812278e-11,5.6065964e-11
51,5.290288e-11,3.5771854e-11
52,3.1644267e-11,2.0137968e-11
53,1.391475e-11,8.5797446e-12
54,5.110931e-12,3.1737278e-12
55,5.110931e-12,3.1737278e-12
56,2.0105029e-12,1.3450538e-12
57,2.0105029e-12,1.3450538e-12
58,1.4794069e-12,1.1792026e-12
59,3.072605e-12,2.667795e-12
60,5.2636133e-12,4.647063e-12
61,9.031078e-12,7.84704e-12
62,1.7100132e-11,1.40803575e-11
63,2.4285652e-11,1.8626566e-11
64,3.2309783e-11,2.2950341e-11
65,3.8248765e-11,2.5276501e-11
66,4.06958e-11,2.5599342e-11
67,3.4383746e-11,2.0748701e-11
68,2.630813e-11,1.555459e-11
69,2.0157105e-11,1.1694509e-11
70,1.5003278e-11,8.852821e-12
71,1.057648e-11,6.5582735e-12
72,7.955106e-12,5.2134156e-12
73,6.628547e-12,4.5532883e-12
74,5.066865e-12,3.6561518e-12
75,4.528112e-12,3.3804524e-12
76,3.6778475e-12,2.8104856e-12
77,3.773635e-12,2.914538e-12
78,4.7471406e-12,3.6409807e-12
79,5.9944385e-12,4.5442218e-12
80,7.5072604e-12,5.670043e-12
81,9.361346e-12,7.0401753e-12
82,1.3706366e-11,1.027002e-11
83,1.4814209e-11,1.09448145e-11
84,1.5500599e-11,1.1336393e-11
85,1.664206e-11,1.201663e-11
86,1.9426575e-11,1.3972276e-11
87,2.4905756e-11,1.7774473e-11
88,2.2808167e-11,1.6519227e-11
89,2.5469696e-11,1.8709277e-11
