 Activity, AccelX_5, AccelY_5, AccelZ_5, GyroX_5, GyroY_5, GyroZ_5
0,1.571988,3.585941,9.222869,-0.094928,0.091386,-0.193664
0,1.389642,3.474738,9.042446,-0.128813,0.212858,-0.137742
0,1.449334,3.530832,8.917081,-0.187421,0.325079,-0.041684
0,1.488603,3.646983,8.709322,-0.220965,0.405471,0.062747
0,1.480831,3.717411,8.549493,-0.22365,0.432303,0.114529
0,1.347298,3.746201,8.447499,-0.194867,0.368656,0.134396
0,1.397891,3.696585,8.480395,-0.169758,0.233212,0.157705
0,1.38471,3.705623,8.548309,-0.141491,0.080615,0.181189
0,1.473052,3.715384,8.632709,-0.104689,-0.070826,0.177805
0,1.339075,3.634772,8.781578,-0.074848,-0.161559,0.15739
0,1.262407,3.57111,8.827103,-0.080682,-0.187163,0.127594
0,1.266598,3.519479,8.872404,-0.121931,-0.16722,0.107456
0,1.240404,3.606477,8.895248,-0.166746,-0.104837,0.085509
0,1.277986,3.516206,8.89755,-0.20791,-0.053483,0.059411
0,1.31704,3.46321,8.915261,-0.234618,-0.01425,0.052072
0,1.315264,3.465397,8.95029,-0.247528,0.003322,0.048518
0,1.293278,3.502766,9.000204,-0.249463,-0.008463,0.047464
0,1.368479,3.475269,9.053414,-0.23012,-0.030359,0.054502
0,1.313566,3.487957,9.06677,-0.198706,-0.054786,0.062208
0,1.294752,3.474871,9.120119,-0.149351,-0.064912,0.065397
0,1.320258,3.452473,9.135015,-0.110242,-0.062081,0.072598
0,1.287229,3.442242,9.128533,-0.082425,-0.047078,0.078981
0,1.313008,3.489231,9.0672,-0.070319,-0.041681,0.077222
0,1.301566,3.516088,9.084521,-0.070583,-0.043078,0.07381
0,1.255039,3.497996,9.088142,-0.072234,-0.041803,0.070928
0,1.193846,3.483247,9.115526,-0.08006,-0.034278,0.070995
0,1.212718,3.471926,9.061557,-0.083014,-0.01369,0.079356
0,1.214595,3.475581,9.077928,-0.09041,0.007015,0.084747
0,1.224871,3.492911,9.05025,-0.084657,0.035056,0.0937
0,1.21082,3.474774,9.031368,-0.069649,0.050645,0.090077
0,1.162252,3.497895,9.050746,-0.062162,0.052064,0.085068
0,1.141688,3.526326,9.069097,-0.052901,0.034375,0.078765
0,1.183281,3.520003,9.047731,-0.047563,0.021051,0.072723
0,1.203349,3.486616,9.114724,-0.035138,0.025136,0.077555
0,1.209177,3.537511,9.143807,-0.016277,0.038721,0.074608
0,1.154269,3.523968,9.179488,-0.004179,0.040153,0.068541
0,1.182641,3.517695,9.280723,0.002058,0.048066,0.068416
0,1.209777,3.515255,9.348028,0.011157,0.04658,0.080973
0,1.220863,3.524154,9.370876,0.028586,0.051076,0.083687
0,1.199697,3.461177,9.353365,0.042233,0.057525,0.085764
0,1.154203,3.46798,9.342432,0.046273,0.058426,0.086245
0,1.103162,3.41636,9.337891,0.034337,0.061132,0.092583
0,1.1723,3.401404,9.368192,0.021396,0.070609,0.106761
0,1.194865,3.408973,9.334412,0.017954,0.076685,0.113426
0,1.238743,3.362708,9.306568,0.029826,0.081589,0.119839
0,1.229346,3.295651,9.266193,0.047439,0.085019,0.118104
0,1.212819,3.277664,9.229579,0.062007,0.091003,0.117619
0,1.28665,3.312511,9.206451,0.074917,0.095496,0.128478
0,1.311822,3.294011,9.179166,0.090672,0.103728,0.136315
0,1.316666,3.328233,9.178803,0.102466,0.097095,0.143845
0,1.287462,3.316636,9.197182,0.106238,0.081186,0.144723
0,1.260257,3.308976,9.181112,0.119509,0.050174,0.139244
0,1.248321,3.313176,9.153556,0.128239,0.032017,0.141201
0,1.284066,3.285796,9.110475,0.151425,0.015741,0.131358
0,1.259856,3.303523,9.036803,0.163754,0.003175,0.121569
0,1.2934,3.308824,9.017419,0.167362,0.002463,0.104601
0,1.337115,3.340135,8.999545,0.174013,0.004288,0.091174
0,1.337854,3.383842,9.084438,0.17728,-0.005813,0.062178
0,1.294414,3.46456,9.149224,0.173268,-0.051491,0.02949
0,1.350187,3.44154,9.012722,0.169373,-0.104557,0.016399
0,1.375226,3.367438,8.963422,0.167165,-0.134186,0.029494
0,1.460451,3.414106,8.988663,0.149067,-0.170571,0.053436
0,1.490763,3.362497,9.031663,0.139114,-0.170821,0.071766
0,1.504403,3.318074,9.031364,0.123061,-0.132772,0.100553
0,1.568507,3.275108,9.065979,0.099062,-0.05681,0.137471
0,1.527437,3.392401,9.136629,0.079599,-0.036837,0.174836
0,1.633364,3.426067,9.23409,0.071144,0.001115,0.202189
0,1.66097,3.391549,9.250693,0.084035,-0.009544,0.201857
0,1.632948,3.368255,9.279673,0.102156,-0.014615,0.20004
0,1.637884,3.288729,9.259065,0.113578,-0.015095,0.198729
0,1.621405,3.266122,9.196773,0.111012,-0.004456,0.193322
0,1.651179,3.284972,9.023498,0.091078,0.029591,0.181383
0,1.653383,3.263228,8.929542,0.070949,0.073346,0.161737
0,1.620201,3.267279,8.86199,0.045969,0.114357,0.143334
0,1.636713,3.301307,8.886902,0.01879,0.139715,0.126719
0,1.64142,3.278193,8.887808,0.012929,0.145707,0.100284
0,1.58525,3.2978,8.891995,0.010547,0.150866,0.079044
0,1.553315,3.339146,8.840114,0.017774,0.149949,0.056587
0,1.53457,3.389144,8.810784,0.012846,0.141585,0.035021
0,1.518718,3.406693,8.791241,0.007354,0.136581,0.015813
0,1.472439,3.449803,8.830187,-0.014065,0.141374,0.000782
0,1.440654,3.468167,8.868869,-0.035085,0.149246,-0.007453
0,1.393101,3.488095,8.965376,-0.060158,0.162823,-0.011087
0,1.396638,3.546366,8.985365,-0.068267,0.160283,-0.005471
0,1.36611,3.528735,9.002015,-0.074081,0.148187,-0.001008
0,1.318564,3.56405,9.043637,-0.069195,0.138939,0.015705
0,1.316578,3.581075,9.050064,-0.064075,0.123696,0.037308
0,1.320833,3.567456,9.031915,-0.063784,0.096943,0.061159
0,1.3283,3.568571,9.025415,-0.067843,0.058796,0.079118
0,1.318959,3.505581,8.969789,-0.071455,0.020985,0.095978
0,1.338019,3.471653,9.005586,-0.067336,-0.005749,0.103251
0,1.37464,3.415228,9.039774,-0.063552,-0.005992,0.114464
0,1.365179,3.413921,9.03138,-0.055971,0.008051,0.119868
0,1.451697,3.413737,9.001159,-0.059286,0.018224,0.123647
0,1.466831,3.427418,9.039386,-0.063895,0.017372,0.131256
0,1.486708,3.393218,9.074778,-0.060537,0.002547,0.132801
0,1.478735,3.393767,9.032438,-0.055078,-0.010622,0.133011
0,1.484102,3.41956,8.991328,-0.055416,-0.022379,0.127195
0,1.503296,3.430758,9.0628,-0.071569,-0.01511,0.127499
0,1.50721,3.450944,9.090054,-0.068063,-0.003843,0.11489
0,1.495893,3.445323,9.14957,-0.05803,0.023668,0.0941
0,1.452246,3.457246,9.18707,-0.036223,0.050826,0.082165
0,1.444859,3.517539,9.170814,-0.020516,0.065567,0.071596
0,1.422993,3.569577,9.164877,-0.017108,0.065499,0.063176
0,1.402928,3.591934,9.134273,-0.012985,0.067069,0.050052
